Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.964051,0.99129,0.428169,0.977481,2459,1031,2809068885,2530414070.000000,0.000000,504831,.,.,282337.000000,189533.000000,,1.48964560261,486683,.,.,272508.000000,183014.000000,,1.48900084147,18148,.,.,9829.000000,6519.000000,,1.5077465869,894234,.,.,570224.000000,298922.000000,,1.90760131406,506897,.,.,314076.000000,182913.000000,,1.71707861114,4454,.,.,3658.000000,760.000000,,4.81315789474,382883,.,.,252490.000000,115249.000000,,2.19082161234
INDEL,*,*,PASS,*,QUAL,*,0.964051,0.99129,0.428169,0.977481,2459,1031,2809068885,2530414070.000000,0.000000,504831,.,.,282337.000000,189533.000000,,1.48964560261,486683,.,.,272508.000000,183014.000000,,1.48900084147,18148,.,.,9829.000000,6519.000000,,1.5077465869,894234,.,.,570224.000000,298922.000000,,1.90760131406,506897,.,.,314076.000000,182913.000000,,1.71707861114,4454,.,.,3658.000000,760.000000,,4.81315789474,382883,.,.,252490.000000,115249.000000,,2.19082161234
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.969256,0.991054,0.507881,0.980034,1363,542,83977437.000000,61421286.000000,0.000000,222808,.,.,121151.000000,85517.000000,,1.41668907936,215958,.,.,117729.000000,83064.000000,,1.4173288067,6850,.,.,3422.000000,2453.000000,,1.39502649817,462691,.,.,294571.000000,154486.000000,,1.906781197,225662,.,.,137859.000000,83005.000000,,1.66085175592,2037,.,.,1581.000000,435.000000,,3.63448275862,234992,.,.,155131.000000,71046.000000,,2.18352898122
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.969256,0.991054,0.507881,0.980034,1363,542,83977437.000000,61421286.000000,0.000000,222808,.,.,121151.000000,85517.000000,,1.41668907936,215958,.,.,117729.000000,83064.000000,,1.4173288067,6850,.,.,3422.000000,2453.000000,,1.39502649817,462691,.,.,294571.000000,154486.000000,,1.906781197,225662,.,.,137859.000000,83005.000000,,1.66085175592,2037,.,.,1581.000000,435.000000,,3.63448275862,234992,.,.,155131.000000,71046.000000,,2.18352898122
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.916183,0.986797,0.898676,0.95018,21,19,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3629,.,.,2125.000000,1356.000000,,1.56710914454,332,.,.,210.000000,101.000000,,2.07920792079,37375,.,.,24131.000000,12540.000000,,1.92432216906,3737,.,.,2347.000000,1352.000000,,1.73594674556,50,.,.,39.000000,11.000000,,3.54545454545,33588,.,.,21745.000000,11177.000000,,1.94551310727
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.916183,0.986797,0.898676,0.95018,21,19,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3629,.,.,2125.000000,1356.000000,,1.56710914454,332,.,.,210.000000,101.000000,,2.07920792079,37375,.,.,24131.000000,12540.000000,,1.92432216906,3737,.,.,2347.000000,1352.000000,,1.73594674556,50,.,.,39.000000,11.000000,,3.54545454545,33588,.,.,21745.000000,11177.000000,,1.94551310727
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.949743,0.986376,0.63607,0.967713,229,137,26604713.000000,18573075.000000,0.000000,27678,.,.,15598.000000,7629.000000,,2.04456678464,26287,.,.,14951.000000,7237.000000,,2.06591128921,1391,.,.,647.000000,392.000000,,1.65051020408,81686,.,.,59056.000000,19559.000000,,3.01937726878,29323,.,.,21219.000000,7223.000000,,2.93769901703,405,.,.,301.000000,100.000000,,3.01,51958,.,.,37536.000000,12236.000000,,3.06766917293
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.949743,0.986376,0.63607,0.967713,229,137,26604713.000000,18573075.000000,0.000000,27678,.,.,15598.000000,7629.000000,,2.04456678464,26287,.,.,14951.000000,7237.000000,,2.06591128921,1391,.,.,647.000000,392.000000,,1.65051020408,81686,.,.,59056.000000,19559.000000,,3.01937726878,29323,.,.,21219.000000,7223.000000,,2.93769901703,405,.,.,301.000000,100.000000,,3.01,51958,.,.,37536.000000,12236.000000,,3.06766917293
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3045,.,.,1660.000000,1365.000000,,1.21611721612,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3045,.,.,1660.000000,1365.000000,,1.21611721612
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3045,.,.,1660.000000,1365.000000,,1.21611721612,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3045,.,.,1660.000000,1365.000000,,1.21611721612
