Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.967014,0.99133,0.430386,0.979021,2572,1026,2809068885,2530026864.000000,0.000000,511452,.,.,287638.000000,189785.000000,,1.51559923071,494581,.,.,277949.000000,184218.000000,,1.50880478563,16871,.,.,9689.000000,5567.000000,,1.74043470451,913393,.,.,584149.000000,303013.000000,,1.92780177748,515770,.,.,321431.000000,184120.000000,,1.74576906365,4511,.,.,3606.000000,852.000000,,4.2323943662,393112,.,.,259112.000000,118041.000000,,2.19510170195
INDEL,*,*,PASS,*,QUAL,*,0.967014,0.99133,0.430386,0.979021,2572,1026,2809068885,2530026864.000000,0.000000,511452,.,.,287638.000000,189785.000000,,1.51559923071,494581,.,.,277949.000000,184218.000000,,1.50880478563,16871,.,.,9689.000000,5567.000000,,1.74043470451,913393,.,.,584149.000000,303013.000000,,1.92780177748,515770,.,.,321431.000000,184120.000000,,1.74576906365,4511,.,.,3606.000000,852.000000,,4.2323943662,393112,.,.,259112.000000,118041.000000,,2.19510170195
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.972389,0.990045,0.504912,0.981138,1582,596,83977437.000000,61660970.000000,0.000000,227196,.,.,123430.000000,86743.000000,,1.42293902678,220923,.,.,120326.000000,84531.000000,,1.42345411742,6273,.,.,3104.000000,2212.000000,,1.40325497288,471952,.,.,300705.000000,157110.000000,,1.91397746802,231332,.,.,141851.000000,84474.000000,,1.67922674432,2326,.,.,1783.000000,515.000000,,3.46213592233,238294,.,.,157071.000000,72121.000000,,2.17788161562
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.972389,0.990045,0.504912,0.981138,1582,596,83977437.000000,61660970.000000,0.000000,227196,.,.,123430.000000,86743.000000,,1.42293902678,220923,.,.,120326.000000,84531.000000,,1.42345411742,6273,.,.,3104.000000,2212.000000,,1.40325497288,471952,.,.,300705.000000,157110.000000,,1.91397746802,231332,.,.,141851.000000,84474.000000,,1.67922674432,2326,.,.,1783.000000,515.000000,,3.46213592233,238294,.,.,157071.000000,72121.000000,,2.17788161562
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.927521,0.987338,0.908244,0.956495,25,14,38076769.000000,5981362.000000,0.000000,3808,.,.,2260.000000,1359.000000,,1.6629874908,3532,.,.,2076.000000,1279.000000,,1.62314308053,276,.,.,184.000000,80.000000,,2.3,40455,.,.,26360.000000,13203.000000,,1.99651594335,3665,.,.,2340.000000,1280.000000,,1.828125,47,.,.,36.000000,11.000000,,3.27272727273,36743,.,.,23984.000000,11912.000000,,2.01343183345
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.927521,0.987338,0.908244,0.956495,25,14,38076769.000000,5981362.000000,0.000000,3808,.,.,2260.000000,1359.000000,,1.6629874908,3532,.,.,2076.000000,1279.000000,,1.62314308053,276,.,.,184.000000,80.000000,,2.3,40455,.,.,26360.000000,13203.000000,,1.99651594335,3665,.,.,2340.000000,1280.000000,,1.828125,47,.,.,36.000000,11.000000,,3.27272727273,36743,.,.,23984.000000,11912.000000,,2.01343183345
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.959312,0.988087,0.646949,0.973487,219,108,26604713.000000,18474893.000000,0.000000,27797,.,.,15802.000000,7520.000000,,2.10132978723,26666,.,.,15155.000000,7299.000000,,2.07631182354,1131,.,.,647.000000,221.000000,,2.92760180995,85356,.,.,61573.000000,20446.000000,,3.0114936907,29776,.,.,21527.000000,7295.000000,,2.9509252913,359,.,.,254.000000,103.000000,,2.46601941748,55221,.,.,39792.000000,13048.000000,,3.04966278357
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.959312,0.988087,0.646949,0.973487,219,108,26604713.000000,18474893.000000,0.000000,27797,.,.,15802.000000,7520.000000,,2.10132978723,26666,.,.,15155.000000,7299.000000,,2.07631182354,1131,.,.,647.000000,221.000000,,2.92760180995,85356,.,.,61573.000000,20446.000000,,3.0114936907,29776,.,.,21527.000000,7295.000000,,2.9509252913,359,.,.,254.000000,103.000000,,2.46601941748,55221,.,.,39792.000000,13048.000000,,3.04966278357
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3980,.,.,2429.000000,1510.000000,,1.60860927152,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3980,.,.,2429.000000,1510.000000,,1.60860927152
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3980,.,.,2429.000000,1510.000000,,1.60860927152,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3980,.,.,2429.000000,1510.000000,,1.60860927152
