Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.994461,0.995088,0.443989,0.994775,1337,1037,2809068885,2530026864.000000,0.000000,511450,.,.,287638.000000,189783.000000,,1.51561520263,508617,.,.,286044.000000,189391.000000,,1.51033576041,2833,.,.,1594.000000,392.000000,,4.06632653061,959034,.,.,618217.000000,311646.000000,,1.98371549771,530614,.,.,331147.000000,189162.000000,,1.7506000148,2619,.,.,2064.000000,477.000000,,4.32704402516,425801,.,.,285006.000000,122007.000000,,2.33598072242
INDEL,*,*,PASS,*,QUAL,*,0.994461,0.995088,0.443989,0.994775,1337,1037,2809068885,2530026864.000000,0.000000,511450,.,.,287638.000000,189783.000000,,1.51561520263,508617,.,.,286044.000000,189391.000000,,1.51033576041,2833,.,.,1594.000000,392.000000,,4.06632653061,959034,.,.,618217.000000,311646.000000,,1.98371549771,530614,.,.,331147.000000,189162.000000,,1.7506000148,2619,.,.,2064.000000,477.000000,,4.32704402516,425801,.,.,285006.000000,122007.000000,,2.33598072242
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.991654,0.99124,0.518247,0.991447,1073,864,83977437.000000,61660970.000000,0.000000,227183,.,.,123427.000000,86734.000000,,1.4230520903,225287,.,.,122466.000000,86485.000000,,1.41603746314,1896,.,.,961.000000,249.000000,,3.859437751,495017,.,.,319037.000000,159815.000000,,1.99628945969,236387,.,.,144998.000000,86395.000000,,1.67831471729,2089,.,.,1611.000000,414.000000,,3.89130434783,256541,.,.,172428.000000,73006.000000,,2.36183327398
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.991654,0.99124,0.518247,0.991447,1073,864,83977437.000000,61660970.000000,0.000000,227183,.,.,123427.000000,86734.000000,,1.4230520903,225287,.,.,122466.000000,86485.000000,,1.41603746314,1896,.,.,961.000000,249.000000,,3.859437751,495017,.,.,319037.000000,159815.000000,,1.99628945969,236387,.,.,144998.000000,86395.000000,,1.67831471729,2089,.,.,1611.000000,414.000000,,3.89130434783,256541,.,.,172428.000000,73006.000000,,2.36183327398
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.992647,0.997958,0.918904,0.995296,1,1,38076769.000000,5981362.000000,0.000000,3808,.,.,2260.000000,1359.000000,,1.6629874908,3780,.,.,2237.000000,1355.000000,,1.65092250923,28,.,.,23.000000,4.000000,,5.75,48313,.,.,32540.000000,14608.000000,,2.22754654984,3910,.,.,2509.000000,1354.000000,,1.85302806499,8,.,.,7.000000,1.000000,,7.0,44395,.,.,30024.000000,13253.000000,,2.26544933223
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.992647,0.997958,0.918904,0.995296,1,1,38076769.000000,5981362.000000,0.000000,3808,.,.,2260.000000,1359.000000,,1.6629874908,3780,.,.,2237.000000,1355.000000,,1.65092250923,28,.,.,23.000000,4.000000,,5.75,48313,.,.,32540.000000,14608.000000,,2.22754654984,3910,.,.,2509.000000,1354.000000,,1.85302806499,8,.,.,7.000000,1.000000,,7.0,44395,.,.,30024.000000,13253.000000,,2.26544933223
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.991474,0.99392,0.640698,0.992695,108,65,26604713.000000,18474893.000000,0.000000,27796,.,.,15802.000000,7519.000000,,2.10160925655,27559,.,.,15687.000000,7473.000000,,2.09915696507,237,.,.,115.000000,46.000000,,2.5,86064,.,.,64472.000000,18070.000000,,3.567902601,30735,.,.,22332.000000,7433.000000,,3.00443966097,188,.,.,157.000000,24.000000,,6.54166666667,55141,.,.,41983.000000,10613.000000,,3.9558089136
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.991474,0.99392,0.640698,0.992695,108,65,26604713.000000,18474893.000000,0.000000,27796,.,.,15802.000000,7519.000000,,2.10160925655,27559,.,.,15687.000000,7473.000000,,2.09915696507,237,.,.,115.000000,46.000000,,2.5,86064,.,.,64472.000000,18070.000000,,3.567902601,30735,.,.,22332.000000,7433.000000,,3.00443966097,188,.,.,157.000000,24.000000,,6.54166666667,55141,.,.,41983.000000,10613.000000,,3.9558089136
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7753,.,.,1648.000000,6076.000000,,0.271231073074,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7753,.,.,1648.000000,6076.000000,,0.271231073074
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7753,.,.,1648.000000,6076.000000,,0.271231073074,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7753,.,.,1648.000000,6076.000000,,0.271231073074
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.990971,0.995465,0.851933,0.993213,29,22,119934799.000000,12475012.000000,0.000000,12183,.,.,7464.000000,3639.000000,,2.05111294312,12073,.,.,7391.000000,3621.000000,,2.04114885391,110,.,.,73.000000,18.000000,,4.05555555556,86373,.,.,56521.000000,27389.000000,,2.06363868706,12731,.,.,8818.000000,3611.000000,,2.44198283024,58,.,.,47.000000,10.000000,,4.7,73584,.,.,47656.000000,23768.000000,,2.00504880512
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.990971,0.995465,0.851933,0.993213,29,22,119934799.000000,12475012.000000,0.000000,12183,.,.,7464.000000,3639.000000,,2.05111294312,12073,.,.,7391.000000,3621.000000,,2.04114885391,110,.,.,73.000000,18.000000,,4.05555555556,86373,.,.,56521.000000,27389.000000,,2.06363868706,12731,.,.,8818.000000,3611.000000,,2.44198283024,58,.,.,47.000000,10.000000,,4.7,73584,.,.,47656.000000,23768.000000,,2.00504880512
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.995476,0.996509,0.465045,0.995992,202,112,38085246.000000,28820456.000000,0.000000,87097,.,.,47343.000000,24157.000000,,1.9598046115,86703,.,.,47166.000000,24074.000000,,1.95920910526,394,.,.,177.000000,83.000000,,2.13253012048,180991,.,.,128488.000000,40997.000000,,3.13408298168,96484,.,.,67409.000000,24020.000000,,2.80636969192,338,.,.,275.000000,53.000000,,5.18867924528,84169,.,.,60804.000000,16924.000000,,3.59276766722
