Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.995453,0.998149,0.430458,0.996799,540,287,2809068885,2542283695.000000,0.000000,525395,.,.,296555.000000,194040.000000,,1.52831890332,523006,.,.,295091.000000,193424.000000,,1.52561729672,2389,.,.,1464.000000,616.000000,,2.37662337662,959186,.,.,619288.000000,310746.000000,,1.9929073906,545286,.,.,340948.000000,193403.000000,,1.76288889004,1011,.,.,794.000000,195.000000,,4.07179487179,412889,.,.,277546.000000,117148.000000,,2.36919110868
INDEL,*,*,PASS,*,QUAL,*,0.995453,0.998149,0.430458,0.996799,540,287,2809068885,2542283695.000000,0.000000,525395,.,.,296555.000000,194040.000000,,1.52831890332,523006,.,.,295091.000000,193424.000000,,1.52561729672,2389,.,.,1464.000000,616.000000,,2.37662337662,959186,.,.,619288.000000,310746.000000,,1.9929073906,545286,.,.,340948.000000,193403.000000,,1.76288889004,1011,.,.,794.000000,195.000000,,4.07179487179,412889,.,.,277546.000000,117148.000000,,2.36919110868
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.998395,0.998831,0.522992,0.998613,162,78,83977437.000000,62849098.000000,0.000000,229956,.,.,127613.000000,85983.000000,,1.48416547457,229587,.,.,127410.000000,85897.000000,,1.48328812415,369,.,.,203.000000,86.000000,,2.36046511628,503742,.,.,328941.000000,157506.000000,,2.0884347263,240008,.,.,149095.000000,85862.000000,,1.7364491859,281,.,.,206.000000,66.000000,,3.12121212121,263453,.,.,179640.000000,71578.000000,,2.50970968733
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.998395,0.998831,0.522992,0.998613,162,78,83977437.000000,62849098.000000,0.000000,229956,.,.,127613.000000,85983.000000,,1.48416547457,229587,.,.,127410.000000,85897.000000,,1.48328812415,369,.,.,203.000000,86.000000,,2.36046511628,503742,.,.,328941.000000,157506.000000,,2.0884347263,240008,.,.,149095.000000,85862.000000,,1.7364491859,281,.,.,206.000000,66.000000,,3.12121212121,263453,.,.,179640.000000,71578.000000,,2.50970968733
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.967058,0.990383,0.830482,0.978582,25,38,38076769.000000,13750354.000000,0.000000,7498,.,.,4424.000000,2697.000000,,1.64034111976,7251,.,.,4249.000000,2636.000000,,1.61191198786,247,.,.,175.000000,61.000000,,2.86885245902,44780,.,.,28405.000000,15627.000000,,1.81768733602,7518,.,.,4782.000000,2646.000000,,1.80725623583,73,.,.,56.000000,16.000000,,3.5,37189,.,.,23567.000000,12965.000000,,1.81774006942
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.967058,0.990383,0.830482,0.978582,25,38,38076769.000000,13750354.000000,0.000000,7498,.,.,4424.000000,2697.000000,,1.64034111976,7251,.,.,4249.000000,2636.000000,,1.61191198786,247,.,.,175.000000,61.000000,,2.86885245902,44780,.,.,28405.000000,15627.000000,,1.81768733602,7518,.,.,4782.000000,2646.000000,,1.80725623583,73,.,.,56.000000,16.000000,,3.5,37189,.,.,23567.000000,12965.000000,,1.81774006942
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.985363,0.992127,0.583877,0.988733,176,86,26604713.000000,19570479.000000,0.000000,32248,.,.,17840.000000,9336.000000,,1.91088260497,31776,.,.,17566.000000,9273.000000,,1.89431683382,472,.,.,274.000000,63.000000,,4.34920634921,85768,.,.,63209.000000,19464.000000,,3.24748253185,35409,.,.,25071.000000,9277.000000,,2.7024900291,281,.,.,240.000000,36.000000,,6.66666666667,50078,.,.,37898.000000,10151.000000,,3.7334252783
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.985363,0.992127,0.583877,0.988733,176,86,26604713.000000,19570479.000000,0.000000,32248,.,.,17840.000000,9336.000000,,1.91088260497,31776,.,.,17566.000000,9273.000000,,1.89431683382,472,.,.,274.000000,63.000000,,4.34920634921,85768,.,.,63209.000000,19464.000000,,3.24748253185,35409,.,.,25071.000000,9277.000000,,2.7024900291,281,.,.,240.000000,36.000000,,6.66666666667,50078,.,.,37898.000000,10151.000000,,3.7334252783
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4887,.,.,1173.000000,3689.000000,,0.31797235023,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4887,.,.,1173.000000,3689.000000,,0.31797235023
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4887,.,.,1173.000000,3689.000000,,0.31797235023,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4887,.,.,1173.000000,3689.000000,,0.31797235023
