Technology,Genomic Region,Participant,F1
MULTI,All Benchmark Regions,Sentieon,0.999
MULTI,All Benchmark Regions,Roche Sequencing Solutions,0.9989
MULTI,Difficult-to-Map Regions,Roche Sequencing Solutions,0.9944
MULTI,MHC,Sentieon,0.9979
ILLUMINA,All Benchmark Regions,DRAGEN,0.9971
ILLUMINA,Difficult-to-Map Regions,DRAGEN,0.9693
ILLUMINA,MHC,Seven Bridges Genomics,0.9923
PACBIO,All Benchmark Regions,The Genomics Team in Google Health,0.9983
PACBIO,Difficult-to-Map Regions,Sentieon,0.9929
PACBIO,MHC,Sentieon,0.9949
ONT,All Benchmark Regions,The UCSC CGL and Google Health,0.9651
ONT,Difficult-to-Map Regions,The UCSC CGL and Google Health,0.9825
ONT,MHC,Wang Genomics Lab,0.9717
